date,open,high,low,close,volume,pattern
2024-01-01,100.0,102.5,99.2,101.8,1000000,consolidation
2024-01-02,101.8,104.2,100.5,103.5,1200000,breakout
2024-01-03,103.5,105.0,102.8,104.2,900000,triangle
2024-01-04,104.2,106.5,103.5,105.8,1100000,breakout
2024-01-05,105.8,107.2,105.0,106.5,950000,consolidation
2024-01-08,106.5,108.0,105.8,107.2,1050000,triangle
2024-01-09,107.2,109.5,106.8,108.5,1300000,head_shoulders
2024-01-10,108.5,110.0,107.5,109.2,1150000,double_bottom
2024-01-11,109.2,111.2,108.5,110.5,1400000,breakout
2024-01-12,110.5,112.0,110.0,111.8,1100000,consolidation
2024-01-15,111.8,113.5,111.0,112.5,950000,triangle
2024-01-16,112.5,114.2,111.8,113.2,1200000,head_shoulders
2024-01-17,113.2,115.0,112.5,114.5,1100000,breakout
2024-01-18,114.5,116.2,113.8,115.5,1300000,double_bottom
2024-01-19,115.5,117.0,115.0,116.2,1050000,consolidation
2024-01-22,116.2,118.5,115.5,117.5,1200000,triangle
2024-01-23,117.5,119.2,116.8,118.5,950000,head_shoulders
2024-01-24,118.5,120.0,118.0,119.2,1100000,breakout
2024-01-25,119.2,121.5,118.5,120.8,1350000,double_bottom
2024-01-26,120.8,122.0,120.0,121.5,1050000,consolidation
2024-01-29,121.5,123.5,120.8,122.5,1200000,triangle
2024-01-30,122.5,124.2,121.8,123.2,900000,head_shoulders
2024-01-31,123.2,125.0,122.5,124.5,1150000,breakout
2024-02-01,124.5,126.2,123.8,125.5,1300000,double_bottom
2024-02-02,125.5,127.0,125.0,126.2,1050000,consolidation
2024-02-05,126.2,128.5,125.5,127.5,1200000,triangle
2024-02-06,127.5,129.2,126.8,128.5,950000,head_shoulders
2024-02-07,128.5,130.0,128.0,129.2,1100000,breakout
2024-02-08,129.2,131.5,128.5,130.8,1350000,double_bottom
2024-02-09,130.8,132.0,130.0,131.5,1050000,consolidation
2024-02-12,131.5,133.5,130.8,132.5,1200000,triangle
2024-02-13,132.5,134.2,131.8,133.2,900000,head_shoulders
2024-02-14,133.2,135.0,132.5,134.5,1150000,breakout
2024-02-15,134.5,136.2,133.8,135.5,1300000,double_bottom
2024-02-16,135.5,137.0,135.0,136.2,1050000,consolidation
2024-02-19,136.2,138.5,135.5,137.5,1200000,triangle
2024-02-20,137.5,139.2,136.8,138.5,950000,head_shoulders
2024-02-21,138.5,140.0,138.0,139.2,1100000,breakout
2024-02-22,139.2,141.5,138.5,140.8,1350000,double_bottom
2024-02-23,140.8,142.0,140.0,141.5,1050000,consolidation
2024-02-26,141.5,143.5,140.8,142.5,1200000,triangle
2024-02-27,142.5,144.2,141.8,143.2,900000,head_shoulders
2024-02-28,143.2,145.0,142.5,144.5,1150000,breakout
2024-02-29,144.5,146.2,143.8,145.5,1300000,double_bottom
2024-03-01,145.5,147.0,145.0,146.2,1050000,consolidation
2024-03-04,146.2,148.5,145.5,147.5,1200000,triangle
2024-03-05,147.5,149.2,146.8,148.5,950000,head_shoulders
2024-03-06,148.5,150.0,148.0,149.2,1100000,breakout
2024-03-07,149.2,151.5,148.5,150.8,1350000,double_bottom
2024-03-08,150.8,152.0,150.0,151.5,1050000,consolidation
2024-03-11,151.5,153.5,150.8,152.5,1200000,triangle
